 step	V(vout)	at
     1	0.230983633436	4e-07
     2	0.243441500983	4e-07
     3	0.255969223074	4e-07
     4	0.268555877443	4e-07
     5	0.281201479248	4e-07
     6	0.293904508725	4e-07
     7	0.306656114958	4e-07
     8	0.319449711706	4e-07
     9	0.332286401871	4e-07
    10	0.345164159044	4e-07
    11	0.35807898993	4e-07
    12	0.371028987342	4e-07
    13	0.384036354218	4e-07
    14	0.397022114602	4e-07
    15	0.410063337516	4e-07
    16	0.423130638123	4e-07
    17	0.43622124508	4e-07
    18	0.449332446746	4e-07
    19	0.462461740172	4e-07
    20	0.475605221693	4e-07
    21	0.488759971419	4e-07
    22	0.501923099305	4e-07
    23	0.515090225684	4e-07
    24	0.528256464252	4e-07
    25	0.54141573752	4e-07
    26	0.554560538082	4e-07
    27	0.567680499108	4e-07
    28	0.580763049613	4e-07
    29	0.59378983869	4e-07
    30	0.60673912028	4e-07
    31	0.619580212412	4e-07
    32	0.632270280427	4e-07
    33	0.644748379723	4e-07
    34	0.656927952393	4e-07
    35	0.668676870026	4e-07
    36	0.679795454201	4e-07
    37	0.690034526024	4e-07
    38	0.699096564491	4e-07
    39	0.706816345622	4e-07
    40	0.713164640236	4e-07
    41	0.718224154986	4e-07
    42	0.722181001166	4e-07
    43	0.725233447709	4e-07
    44	0.727577461516	4e-07
    45	0.729361978891	4e-07
    46	0.730716001076	4e-07
    47	0.731744414774	4e-07
